Name	Net Worth	Age	Residence	Source
Tom & Judy Love	$5.1 B	80	Oklahoma City, OK	retail & gas stations
Leandro Rizzuto	$5.1 B	79	Sheridan, WY	consumer products
Leon Black	$5 B	65	New York, NY	private equity
John Doerr	$5 B	65	Woodside, CA	venture capital
Israel Englander	$5 B	68	New York, NY	hedge funds
Charles Johnson	$5 B	84	Palm Beach, FL	money management
David Shaw	$5 B	66	New York, NY	hedge funds
Edward Roski, Jr.	$4.9 B	78	Los Angeles, CA	real estate
Ray Lee Hunt	$4.8 B	74	Dallas, TX	oil, real estate
Alejandro Santo Domingo	$4.8 B	40	New York, NY	beer
Andres Santo Domingo	$4.8 B	38	New York, NY	beer
Daniel Ziff	$4.8 B	45	New York, NY	investments
Dirk Ziff	$4.8 B	53	North Palm Beach, FL	investments
Robert Ziff	$4.8 B	50	New York, NY	investments
Tamara Gustavson	$4.7 B	55	Malibu, CA	self storage
Sumner Redstone	$4.7 B	93	Beverly Hills, CA	media
Sam Zell	$4.7 B	75	Chicago, IL	real estate, private equity
Daniel Gilbert	$4.6 B	55	Franklin, MI	Quicken Loans
Paul Tudor Jones, II.	$4.6 B	62	Greenwich, CT	hedge funds
George Lucas	$4.6 B	72	San Anselmo, CA	Star Wars
Steven Rales	$4.6 B	66	Santa Barbara, CA	manufacturing
Charles Dolan	$4.5 B	90	Oyster Bay, NY	cable television
Henry Kravis	$4.5 B	73	New York, NY	private equity
Nancy Walton Laurie	$4.5 B	65	Henderson, NV	Wal-Mart
George Roberts	$4.5 B	73	Atherton, CA	private equity
Stanley Druckenmiller	$4.4 B	63	New York, NY	hedge funds
Reinhold Schmieding	$4.4 B	62	Naples, FL	medical devices
Sheldon Solow	$4.4 B	88	New York, NY	real estate
Rupert Johnson, Jr.	$4.3 B	76	Burlingame, CA	money management
Karen Pritzker	$4.3 B	59	Branford, CT	hotels, investments
John Sall	$4.2 B	69	Cary, NC	software
Phillip Frost	$4.1 B	80	Miami Beach, FL	pharmaceuticals
Jeffery Hildebrand	$4.1 B	58	Houston, TX	oil
Gabe Newell	$4.1 B	54	Seattle, WA	videogames
Terrence Pegula	$4.1 B	66	Boca Raton, FL	natural gas
Mitchell Rales	$4.1 B	60	Potomac, MD	manufacturing, investments
Jeffrey Skoll	$4.1 B	52	Los Angeles, CA	eBay
Leonard Stern	$4.1 B	79	New York, NY	real estate
Ronda Stryker	$4.1 B	62	Portage, MI	medical equipment
Jeremy Jacobs, Sr.	$4 B	77	East Aurora, NY	Concessions
James Jannard	$4 B	67	San Juan Islands, WA	sunglasses
Gwendolyn Sontheim Meyer	$4 B	55	Rancho Santa Fe, CA	Cargill
H. Ross Perot, Sr.	$4 B	86	Dallas, TX	computer services, real estate
Stewart and Lynda Resnick	$4 B	-	Beverly Hills, CA	agriculture, water
Russ Weiner	$4 B	46	Delray Beach, FL	energy drinks
John Morris	$3.9 B	69	Springfield, MO	sporting goods retail
Ira Rennert	$3.9 B	82	New York, NY	investments
Marc Benioff	$3.8 B	52	San Francisco, CA	business software
Diane Hendricks	$3.8 B	70	Afton, WI	roofing
Reid Hoffman	$3.8 B	49	Palo Alto, CA	LinkedIn
Robert Rich, Jr.	$3.8 B	76	Islamorada, FL	frozen foods
Walter Scott, Jr.	$3.8 B	85	Omaha, NE	utilities, telecom
Kelcy Warren	$3.8 B	61	Dallas, TX	pipelines
Stephen Bisciotti	$3.7 B	57	Millersville, MD	outsourcing, Baltimore Ravens
Austen Cargill, II.	$3.7 B	66	Livingston, MT	Cargill
James Cargill, II.	$3.7 B	68	Birchwood, WI	Cargill
Rick Caruso	$3.7 B	58	Brentwood, CA	real estate
Martha Ingram	$3.7 B	81	Nashville, TN	book distribution, transportation
H. Fisk Johnson	$3.7 B	58	Racine, WI	cleaning products
Imogene Powers Johnson	$3.7 B	86	Racine, WI	cleaning products
S. Curtis Johnson	$3.7 B	61	Racine, WI	cleaning products
Helen Johnson-Leipold	$3.7 B	60	Racine, WI	cleaning products
Winnie Johnson-Marquart	$3.7 B	58	Virginia Beach, VA	cleaning products
Marianne Liebmann	$3.7 B	63	Bozeman, MT	Cargill
Mary Alice Dorrance Malone	$3.7 B	67	Coatesville, PA	Campbell Soup
Clayton Mathile	$3.7 B	76	Brookville, OH	pet food
Igor Olenicoff	$3.7 B	74	Lighthouse Point, FL	real estate
Frederick Smith	$3.7 B	72	Memphis, TN	FedEx
Jerry Speyer	$3.7 B	76	New York, NY	real estate
Steven Spielberg	$3.7 B	70	Pacific Palisades, CA	Movies
Donald Trump	$3.7 B	70	Washington, DC	television, real estate
Bubba Cathy	$3.6 B	62	Atlanta, GA	Chick-Fil-A
Dan Cathy	$3.6 B	64	Atlanta, GA	Chick-Fil-A
Dan Friedkin	$3.6 B	52	Houston, TX	Toyota dealerships
Jimmy Haslam	$3.6 B	63	Knoxville, TN	gas stations, retail
Randal Kirk	$3.6 B	63	Lake Worth, FL	pharmaceuticals
Bernard Marcus	$3.6 B	87	Atlanta, GA	Home Depot
Isaac Perlmutter	$3.6 B	74	Palm Beach, FL	Marvel comics
Julian Robertson, Jr.	$3.6 B	84	Locust Valley, NY	hedge funds
Jeff Sutton	$3.6 B	57	New York, NY	real estate
Joan Tisch	$3.6 B	89	New York, NY	diversified
Dagmar Dolby	$3.5 B	75	San Francisco, CA	Dolby Laboratories
Archie Aldis Emmerson	$3.5 B	88	Redding, CA	timberland, lumber mills
Ken Fisher	$3.5 B	66	Camas, WA	money management
Robert McNair	$3.5 B	80	Houston, TX	energy, sports
Michael Milken	$3.5 B	70	Los Angeles, CA	investments
Steven Udvar-Hazy	$3.5 B	71	Beverly Hills, CA	aircraft leasing
Anthony Pritzker	$3.4 B	56	Los Angeles, CA	hotels, investments
Jay Robert (J.B.) Pritzker	$3.4 B	52	Chicago, IL	hotels, investments
Donald Sterling	$3.4 B	82	Beverly Hills, CA	real estate
Roger Wang	$3.4 B	68	Nanjing	retail
Nathan Blecharczyk	$3.3 B	33	San Francisco, CA	Airbnb
John Catsimatidis	$3.3 B	68	New York, NY	oil, real estate
Brian Chesky	$3.3 B	35	San Francisco, CA	Airbnb
David Filo	$3.3 B	51	Palo Alto, CA	Yahoo
Joe Gebbia	$3.3 B	35	San Francisco, CA	Airbnb
Tom Gores	$3.3 B	52	Beverly Hills, CA	private equity
Jeff Greene	$3.3 B	62	Palm Beach, FL	real estate, investments
John Overdeck	$3.3 B	47	Millburn, NJ	hedge funds
Bernard Saul, II.	$3.3 B	85	Chevy Chase, MD	banking, real estate
David Siegel	$3.3 B	55	Scarsdale, NY	Hedge Funds
Neil Bluhm	$3.2 B	79	Chicago, IL	real estate
Leon G. Cooperman	$3.2 B	73	Short Hills, NJ	hedge funds
Mark Cuban	$3.2 B	58	Dallas, TX	online media
Jack & Laura Dangermond	$3.2 B	71	Redlands, CA	mapping software
Edward DeBartolo, Jr.	$3.2 B	70	Tampa, FL	shopping centers
Ronald Lauder	$3.2 B	73	New York, NY	Estee Lauder
George Lindemann	$3.2 B	81	Palm Beach, FL	investments
Robert Pera	$3.2 B	39	San Jose, CA	wireless networking gear
Clemmie Spangler, Jr.	$3.2 B	85	Charlotte, NC	investments
Harry Stine	$3.2 B	75	Adel, IA	agriculture
Arthur Blank	$3.1 B	74	Atlanta, GA	Home Depot
John Paul DeJoria	$3.1 B	73	Austin, TX	hair products, tequila
Kieu Hoang	$3.1 B	72	Westlake Village, CA	medical products
Amos Hostetter, Jr.	$3.1 B	80	Boston, MA	cable television
Thomas Pritzker	$3.1 B	66	Chicago, IL	hotels, investments
David Rockefeller, Sr.	$3.1 B	101	-	real estate, investments
Henry Samueli	$3.1 B	62	Newport Beach, CA	semiconductors
Lynn Schusterman	$3.1 B	78	Tulsa, OK	oil & gas, investments
Do Won & Jin Sook Chang	$3 B	61	Beverly Hills, CA	fashion retail
Bennett Dorrance	$3 B	71	Paradise Valley, AZ	Campbell Soup
Allan Goldman	$3 B	74	New York, NY	real estate
Jane Goldman	$3 B	61	New York, NY	real estate
Amy Goldman Fowler	$3 B	62	Rhinebeck, NY	real estate
Diane Kemper	$3 B	71	New York, NY	real estate
Michael Moritz	$3 B	62	San Francisco, CA	venture capital
Kevin Plank	$3 B	44	Lutherville-Timonium, MD	Under Armour
Herbert Simon	$3 B	82	Indianapolis, IN	real estate
Romesh T. Wadhwani	$3 B	69	Palo Alto, CA	software
John Arnold	$2.9 B	43	Houston, TX	hedge funds
Andrew & Peggy Cherng	$2.9 B	-	Las Vegas, NV	restaurants
Tom Golisano	$2.9 B	75	Naples, FL	payroll services
James Leprino	$2.9 B	79	Indian Hills, CO	cheese
Wilbur Ross, Jr.	$2.9 B	79	Palm Beach, FL	investments
Haim Saban	$2.9 B	72	Beverly Hills, CA	TV network, investments
Howard Schultz	$2.9 B	63	Seattle, WA	Starbucks
Robert Bass	$2.8 B	69	Fort Worth, TX	oil, investments
Charles Cohen	$2.8 B	65	New York, NY	real estate
Peter Kellogg	$2.8 B	74	Short Hills, NJ	investments
Kenneth Langone	$2.8 B	81	Sands Point, NY	investments
Jorge Perez	$2.8 B	67	Miami, FL	real estate
Richard Schulze	$2.8 B	76	Bonita Springs, FL	Best Buy
Oprah Winfrey	$2.8 B	63	Montecito, CA	TV shows
Jim Breyer	$2.7 B	55	Woodside, CA	venture capital
Barry Diller	$2.7 B	75	New York, NY	online media
Kenneth Feld	$2.7 B	68	Tampa, FL	circus, live entertainment
Tilman Fertitta	$2.7 B	59	Houston, TX	restaurants, casinos
B. Wayne Hughes	$2.7 B	83	Lexington, KY	self storage
Min Kao	$2.7 B	68	Leawood, KS	navigation equipment
Douglas Leone	$2.7 B	59	Atherton, CA	venture capital
John Middleton	$2.7 B	62	Bryn Mawr, PA	tobacco
Daniel Och	$2.7 B	56	Scarsdale, NY	hedge funds
A. Jerrold Perenchio	$2.7 B	86	Bel Air, CA	television, Univision
J. Christopher Reyes	$2.7 B	63	Hobe Sound, FL	food distribution
Jude Reyes	$2.7 B	61	Palm Beach, FL	food distribution
Gary Rollins	$2.7 B	72	Atlanta, GA	pest control
Randall Rollins	$2.7 B	85	Atlanta, GA	pest control
Mark Shoen	$2.7 B	66	Phoenix, AZ	U-Haul
Peter Thiel	$2.7 B	49	San Francisco, CA	Facebook, Palantir
Steve Wynn	$2.7 B	75	Las Vegas, NV	casinos, hotels
